id,scope,user_id,key,value,updated_at
1,personal,c_2a727106-fb8f-4220-9e8f-990f56fbcef1,user:event_log,"[{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779466736532},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779466659851},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779466659742},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779466240790}]",2026-05-22 16:18:56.532+00
3,personal,c_c940d052-6952-4476-a6c6-2c84dc99e4ee,user:event_log,"[{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779470481846},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779470481718},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779470442683},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779470442386},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779470401442},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779470297082},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779470296860},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779470282345},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779470281991},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779469065669},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779469065605},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779468811750},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779468811676},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779468556679},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779468556405},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779468551935},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779468287441},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779468287312},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779468254122},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779468208120},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779468208028},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779468187694},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779467921047},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779467920820},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779467566700},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779467566617},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779467493576},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779467493314},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779467489753},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779466964551},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779466964422},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779466814145},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779463129017},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779463128051},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779463110232},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779429966144},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779429861562},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779429455826},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779429354775},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779429232738},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779428805549},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779428804935},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779428790948},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779428790357},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779428709563},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779428708990},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779428678195},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779428677615},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779428660734},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779428660732},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779428640969},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779428640967},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779428517301},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779428517299},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779428514632},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779428514092},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779428474255},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779428473659},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779428472262},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779428369189},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779427902082},{""event"":""log_submitted"",""metadata"":{""rating"":5,""beer_id"":""pliny-the-elder-russian-river-brewing"",""has_photo"":true,""visibility"":""public""},""timestamp"":1779427412035},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779427012457},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779426890121},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779426884606},{""event"":""app_boot"",""metadata"":{""mode"":""localStorage""},""timestamp"":1779426877386}]",2026-05-22 17:21:21.846+00
4,personal,c_c940d052-6952-4476-a6c6-2c84dc99e4ee,user:cached_stats,"{""ts"":1779466892175,""week"":{""total"":2,""ratings"":[0,0,0,0,2],""regions"":[[""West"",2]],""topBeers"":[{""name"":""Pliny the Elder"",""count"":2,""brewery"":""Russian River Brewing""}],""avgRating"":5,""breweries"":1,""topStyles"":[[""Double IPA"",2]],""regionCount"":1,""uniqueBeers"":1},""count"":742321,""allTime"":{""total"":2,""ratings"":[0,0,0,0,2],""regions"":[[""West"",2]],""topBeers"":[{""name"":""Pliny the Elder"",""count"":2,""brewery"":""Russian River Brewing""}],""avgRating"":5,""breweries"":1,""topStyles"":[[""Double IPA"",2]],""regionCount"":1,""uniqueBeers"":1}}",2026-05-22 16:21:32.175+00
15,personal,c_07d70f32-d12b-45a6-a7d7-f0c3ef2c5059,user:event_log,"[{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779467882031},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779467877481}]",2026-05-22 16:38:02.031+00
17,personal,c_6a24e7f8-6ada-4a18-8759-794d9477fa89,user:event_log,"[{""event"":""admin_unlocked"",""metadata"":{},""timestamp"":1779468899654},{""event"":""milestone_seen"",""metadata"":{""milestone"":100000,""you_crossed"":false},""timestamp"":1779468897343},{""event"":""admin_unlocked"",""metadata"":{},""timestamp"":1779468885939},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779468882006},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779468060731},{""event"":""log_submitted"",""metadata"":{""rating"":4,""beer_id"":""monkey-jungle-u"",""has_photo"":false,""visibility"":""public""},""timestamp"":1779468055755},{""event"":""log_submitted"",""metadata"":{""rating"":5,""beer_id"":""blue-moon-idk-u"",""has_photo"":true,""visibility"":""public""},""timestamp"":1779467991041},{""event"":""profile_created"",""metadata"":{""member_number"":1},""timestamp"":1779467930925},{""event"":""app_boot"",""metadata"":{""mode"":""supabase""},""timestamp"":1779467896265}]",2026-05-22 16:54:59.654+00
22,personal,c_6a24e7f8-6ada-4a18-8759-794d9477fa89,user:profile,"{""dob"":""09/04/2000"",""phone"":""(408) 505-2253"",""handle"":""Dpilly"",""joined_at"":1779467930794,""created_id"":""04232514-7192-480f-a1eb-dca8c2f413d1"",""member_number"":1,""sound_enabled"":true}",2026-05-22 16:45:51.443+00
24,shared,,beers:weekly_sponsor:2026-21,"{""style"":""Czech Pilsner"",""brewery"":""Pilsner Urquell Brewery"",""beer_name"":""Pilsner Urquell"",""bar_partner"":""The Pour Society · Brooklyn"",""sponsor_message"":""The original pilsner. Since 1842. Still untouched.""}",2026-05-22 16:38:50.99+00
